Gene ID	Gene Name	Design Element	D20_C	pU62_B	pU62_C	D20_A	D20_B	pU62_A
ENSG00000108511	HOXB6	205366_s_at	3.8387063	3.746617	3.6828313	3.8753686	3.6604216	3.4359262
ENSG00000108515	ENO3	204483_at	8.958296	8.17115	8.17795	9.0939865	9.071212	7.9547825
ENSG00000108518	PFN1	200634_at	11.409568	11.84153	11.57424	11.653365	11.737187	11.56998
ENSG00000108523	RNF167	212047_s_at	9.003971	9.33493	9.195609	9.180591	9.262201	9.335154
ENSG00000108528	SLC25A11	207088_s_at	8.332496	8.174987	7.995737	8.349073	8.506122	7.9580626
ENSG00000108528	SLC25A11	209003_at	7.5346713	7.539134	7.655937	7.967131	7.822256	7.5664186
ENSG00000108551	RASD1	223467_at	9.07933	8.43646	8.252321	9.299803	9.368406	8.241749
ENSG00000108556	CHRNE	207274_at	5.5862956	5.7783895	5.6370425	5.54198	5.7401543	5.5907593
ENSG00000108557	RAI1	1552558_a_at	5.656568	5.96195	5.824984	5.722718	5.967467	5.9231396
ENSG00000108557	RAI1	219830_at	5.5023875	5.5695915	5.125265	5.170022	5.24969	5.244856
ENSG00000108557	RAI1	226143_at	9.097862	9.42619	9.317473	9.112599	8.905138	9.356771
ENSG00000108559	NUP88	202900_s_at	9.746877	10.172458	10.309985	9.841425	9.666286	10.281239
ENSG00000108559	NUP88	214192_at	4.3171487	4.291869	4.1337814	3.9115615	4.152172	4.075772
ENSG00000108561	C1QBP	208910_s_at	10.214858	10.994205	10.969028	10.507569	10.2515745	10.993827
ENSG00000108576	SLC6A4	207519_at	4.1895976	3.9216979	4.0587325	4.0715456	4.258131	3.9589152
ENSG00000108576	SLC6A4	241811_x_at	2.8315616	2.8512068	2.896277	2.7620306	2.8010902	2.894769
ENSG00000108576	SLC6A4	242009_at	3.1316419	3.3315537	3.0462704	3.1213534	3.1765025	3.0210392
ENSG00000108578	BLMH	202179_at	9.205984	8.359498	8.348336	9.109456	9.350506	8.22686
ENSG00000108582	CPD	201940_at	9.340853	10.045846	10.018114	9.280423	9.132716	10.122744
ENSG00000108582	CPD	201941_at	10.569627	11.148314	11.237062	10.367705	10.296088	11.282903
ENSG00000108582	CPD	201942_s_at	8.681039	9.540552	9.32795	8.649333	8.407718	9.196026
ENSG00000108582	CPD	201943_s_at	9.132839	10.183594	10.25905	9.16835	8.973784	10.22515
ENSG00000108587	GOSR1	1555199_at	3.2525394	3.293543	3.2095728	3.3817928	3.3053665	3.29716
ENSG00000108587	GOSR1	204630_s_at	9.824594	9.797005	9.873006	9.709738	9.734977	9.879387
ENSG00000108587	GOSR1	213020_at	7.6334963	7.8894405	7.991542	7.651863	7.474806	7.8762054
ENSG00000108587	GOSR1	213021_at	8.831422	8.649552	8.629442	8.818215	8.708617	8.515763
ENSG00000108588	CCDC47	217814_at	10.00113	9.450714	9.509987	9.985953	9.764763	9.471964
ENSG00000108588	CCDC47	222432_s_at	9.777009	9.486321	9.512519	9.739706	9.603884	9.413406
ENSG00000108590	MED31	219318_x_at	5.1590157	4.681431	4.8634286	5.0244117	5.073129	4.776132
ENSG00000108590	MED31	222867_s_at	9.668257	9.326808	9.154605	9.464705	9.694007	9.24038
ENSG00000108590	MED31	236241_at	6.3393145	5.9547215	5.775438	6.7107196	6.0096517	5.741075
ENSG00000108591	DRG2	203267_s_at	6.817122	7.0827136	7.1239123	7.1557994	7.2820983	6.9209166
ENSG00000108591	DRG2	203268_s_at	6.544437	6.792551	6.6242876	6.5028367	6.683327	6.7865133
ENSG00000108592	FTSJ3	218103_at	8.73323	8.904471	8.9729395	8.765331	8.775769	8.947677
ENSG00000108599	AKAP10	213396_s_at	7.789818	7.232524	7.0205503	7.4999433	7.679472	7.238293
ENSG00000108599	AKAP10	236006_s_at	4.98605	5.237592	5.0313964	4.947371	4.9552236	4.6918073
ENSG00000108599	AKAP10	236007_at	6.0191684	5.9681387	6.3048153	5.7505713	5.5644875	6.305944
ENSG00000108602	ALDH3A1	205623_at	5.220814	5.2812786	5.09261	5.1216483	5.276494	5.1460605
ENSG00000108604	SMARCD2	201827_at	7.831116	8.321891	8.11865	7.863421	7.858103	8.026468
ENSG00000108622	ICAM2	204683_at	4.8114552	4.3774037	4.545771	4.3962374	4.344102	4.8222523
ENSG00000108622	ICAM2	213620_s_at	4.106893	4.2772665	4.118125	3.8053694	4.0707397	4.174601
ENSG00000108639	SYNGR2	201079_at	9.286536	9.276518	9.109104	9.280311	9.579658	9.005414
ENSG00000108639	SYNGR2	243103_at	3.7383394	3.890678	3.4324088	3.3464854	3.3444948	3.5589757
ENSG00000108641	B9D1	205662_at	6.224558	6.5832677	6.5545273	6.066571	6.0903416	6.4068236
ENSG00000108641	B9D1	210534_s_at	5.9278913	6.875428	6.6107297	6.0616126	6.2908535	6.4998097
ENSG00000108641	B9D1	210535_at	4.8637314	4.408549	4.678388	4.842689	4.935281	4.552842
ENSG00000108651	UTP6	218715_at	9.61656	9.590201	9.691853	9.582067	9.608825	9.668759
